"Closed Date","Opened Date","Market","Type","Bid/Ask","Units Filled","Units Total","Actual Rate","Cost / Proceeds"
"12/22/2017 08:45:05 PM","12/22/2017 08:45:05 PM","BTC-BLOCK","Limit Buy","0.00255755","14.96989871","14.96989871","0.00255754","-0.03838197"
"12/22/2017 08:44:26 PM","12/22/2017 08:44:26 PM","BTC-BLOCK","Limit Buy","0.00255768","0.59331376","0.59331376","0.00255753","-0.00152121"
"12/22/2017 08:44:21 PM","12/22/2017 08:44:21 PM","BTC-BLOCK","Limit Buy","0.00255756","0.82589112","0.82589112","0.00255631","-0.00211651"
"12/22/2017 08:44:11 PM","12/22/2017 08:44:11 PM","BTC-BLOCK","Limit Buy","0.00253235","16.15733747","16.15733747","0.00253234","-0.04101830"
"12/22/2017 08:44:01 PM","12/22/2017 08:44:01 PM","BTC-BLOCK","Limit Buy","0.00253234","3.13625543","3.13625543","0.00253233","-0.00796191"
"12/22/2017 02:09:36 PM","12/22/2017 02:09:36 PM","BTC-BLOCK","Limit Buy","0.00243344","5.62245607","5.62245607","0.00243342","-0.01371605"
"12/22/2017 02:09:06 PM","12/22/2017 02:09:06 PM","BTC-BCC","Limit Sell","0.19200003","0.07161337","0.07161337","0.19200814","0.01371599"
"12/22/2017 11:26:07 AM","12/22/2017 11:26:07 AM","BTC-BLOCK","Limit Buy","0.00216193","4.08990549","4.08990549","0.00216189","-0.00886404"
"12/22/2017 11:26:00 AM","12/22/2017 11:26:00 AM","BTC-BLOCK","Limit Buy","0.00215427","7.43282360","7.43282360","0.00215426","-0.01605232"
"12/22/2017 11:25:55 AM","12/22/2017 11:25:55 AM","BTC-BLOCK","Limit Buy","0.00215401","0.98342670","0.98342670","0.00215397","-0.00212357"
"12/22/2017 11:25:48 AM","12/22/2017 11:25:48 AM","BTC-BLOCK","Limit Buy","0.00214670","0.99844327","0.99844327","0.00214669","-0.00214870"
"12/22/2017 11:25:28 AM","12/22/2017 11:25:28 AM","BTC-BLOCK","Limit Buy","0.00214409","0.37738251","0.37738251","0.00214408","-0.00081116"
"12/16/2017 09:15:32 PM","12/16/2017 09:15:31 PM","BTC-XVG","Limit Buy","0.00000286","1000.00000000","1000.00000000","0.00000286","-0.00286715"
"12/15/2017 08:26:06 PM","12/15/2017 08:26:06 PM","BTC-XVG","Limit Buy","0.00000118","100000.00000000","100000.00000000","0.00000118","-0.11829500"
"12/15/2017 08:14:43 PM","12/15/2017 08:14:43 PM","BTC-XVG","Limit Sell","0.00000115","120000.00000000","120000.00000000","0.00000115","0.13765500"
"12/15/2017 07:36:27 PM","12/15/2017 07:36:27 PM","BTC-XVG","Limit Buy","0.00000123","90000.00000000","90000.00000000","0.00000123","-0.11097675"
"12/15/2017 07:34:13 PM","12/15/2017 07:34:06 PM","BTC-LTC","Limit Sell","0.01706134","6.61985942","6.61985942","0.01706133","0.11266132"
"12/13/2017 10:02:15 AM","12/13/2017 10:02:14 AM","BTC-XVG","Limit Buy","0.00000066","30000.00000000","30000.00000000","0.00000065","-0.01984948"
"12/13/2017 09:59:33 AM","12/13/2017 09:59:33 AM","BTC-XLM","Limit Sell","0.00000913","688.37471743","688.37471743","0.00000913","0.00627602"
"12/13/2017 09:59:06 AM","12/13/2017 09:59:06 AM","BTC-XLM","Limit Sell","0.00000914","2811.62528257","3224.22248717","0.00000913","0.02563401"
